题型	编号	题干	选项A	选项B	选项C	选项D	正确答案
多选题	63	根据《治安管理处罚法》规定，违反治安管理行为有()状态的追究时效从行为终了之日起计算	牵连	吸收	连续	继续	CD
多选题	64	公安机关对()，以及其他行政主管部门、司法机关移送的违反治安管理案件，应当及时受理，并进行登记	报案	控告	举报	违反治安管理行为人主动投案	ABCD
多选题	65	下列哪些属于公安机关应受理的治安案件()	被侵害人控告李某某对其殴打致轻微伤	知情人举报的违法行为人偷窃少量财物的案件	违法行为人主动向公安机关供述其嫖娼的违法行为	检察院移送的治安案件	ABCD
多选题	66	公安机关及其人民警察对治安案件的调查，应当依法进行，严禁刑讯逼供或者采用()等非法手段收集证据	威胁	说服	引诱	欺骗	ACD
多选题	67	公安机关应当将传唤的()告知被传唤人	原因	地点	场所	依据	AD
多选题	68	公安机关传唤违反治安管理行为人后，应当严格遵守以下要求()	及时通知被传唤人所在地的公安机关	及时询问查证	严格遵守法定询问查证时限	及时通知被传唤人家属	BCD
多选题	69	对于被传唤的违法嫌疑人，公安机关应当及时将传唤的下列哪些情况通知被传唤人家属()	原因	时间	事项	处所	AD
多选题	70	检查的情况应当制作检查笔录，并由()签名或者盖章	办案部门负责人	实施检查的人民警察	被检查人	见证人	BCD
多选题	71	下列关于检查说法错误的有()	人民警察经出示工作证件，可以对公民住所立即进行检查	实施检查的人民警察不得少于二人	检查证应当由公安机关办案部门负责人审批	检查妇女的身体，只能由女性人民警察进行	ACD
多选题	72	对扣押的物品，应当会同在场见证人和被扣押物品持有人查点清楚，当场开列清单一式二份，由()签名或者盖章，一份交给持有人，另一份附卷备查	调查人员	办案部门负责人	见证人	持有人	ACD
多选题	73	对扣押的物品，应当会同()查点清楚，依法开列清单	在场见证人	办案部门负责人	被扣押物品持有人	被扣押物品所有人	AC
多选题	74	从办理治安案件的实践来看，下列()属于需要通过鉴定解决的专门性问题	伤情鉴定	价格鉴定	精神病鉴定	毒品尿样检测	ABCD
多选题	75	对治安案件中的精神病鉴定，由()进行	省级人民政府指定的医院	公安机关的安康医院	其他有鉴定精神病资格的医院	法医	ABC
多选题	76	公安机关作出治安管理处罚决定的，应当制作治安管理处罚决定书，决定书应当载明的内容包括()	被处罚人的基本情况	违法的事实和证据	作出治安管理处罚的种类和法律依据	治安管理处罚的执行方式	ABCD
多选题	77	公安机关作出()的治安管理处罚决定前，应当告知违反治安管理行为人有权要求举行听证	吊销许可证件	四千元以上罚款	行政拘留	驱逐出境	AB
多选题	78	公安机关作出()的治安管理处罚决定前，应当告知违反治安管理行为人有权要求举行听证	行政拘留十五日	吊销许可证件	四千元以上罚款	一千元以上罚款	BC
多选题	79	公安机关在作出()前，应当告知违法嫌疑人有要求举行听证的权利	对个人处以四千元以上罚款的治安管理处罚决定	吊销公安机关发放的许可证件	行政拘留治安管理处罚决定	责令停业整顿措施	ABD
多选题	80	除涉及()的行政案件，听证应当公开举行	国家秘密	商业秘密	个人隐私	企业秘密	ABC
多选题	81	下列()行为，不属于《治安管理处罚法》的调整范围	房屋出租人将房屋出租给无身份证件的人居住，或者不按规定登记承租人姓名、身份证件种类和号码	因校园意外伤害行为发生的损害赔偿争议	偷开他人机动车	因合同的履行发生民事争议	CD
多选题	82	下列关于询问的有关规定，正确的有()	询问不满十八周岁的被侵害人或者其他证人，应当通知其父母或者其他监护人到场	被询问人要求就被询问事项自行提供书面材料的，应当准许	被询问人确认笔录无误后，应当签名或者盖章	询问笔录记载有遗漏的，被询问人可以提出补充	ABCD
多选题	83	违反治安管理的行为与犯罪行为的主要区别在()	危害社会的程度不同	违反的法律规范不同	行为的表现形态不同	应受到的处罚不同	ABD
多选题	84	下列行为不属于《治安管理处罚法》调整范围的有()	酒后驾驶机动车辆	偷开他人机动车	因合同的履行发生民事争议	制造噪音干扰他人正常生活	AC
多选题	85	《治安管理处罚法》规定的单位违反治安管理情形中的单位是指()	公司、企业	事业单位	机关	团体	ABCD
多选题	86	行为人自动放弃实施违反治安管理行为或者有效防止违反治安管理行为结果发生的，针对此种情况，公安机关可能作出的处罚有()	从轻处罚	减轻处罚	不予处罚	从重处罚	ABC
多选题	87	违反治安管理有()情形之一的，从重处罚()	有较严重后果的	教唆、胁迫、诱骗他人违反治安管理的	对报案人、控告人、举报人、证人打击报复的	屡教不改的	ABC
多选题	88	曾因实施()的行为被人民法院判处刑罚或者免除刑事处罚的，不属于《治安管理处罚法》第二十三条规定的“初次违反治安管理”的情形	扰乱公共秩序	妨害公共安全	侵犯人身权利、财产权利	妨害社会管理	ABCD
多选题	89	公安机关及其人民警察在办理治安案件时，对下列哪些事项应当予以保密()	国民经济和社会发展中的秘密事项	某汽车生产厂家的专利设计图纸	某公民的日记	某皮鞋生产厂家的销售渠道	ABCD
多选题	90	下列关于办理治安案件传唤、口头传唤、强制传唤的表述哪些是正确的()	口头传唤不必补办传唤证，但强制传唤必须开具传唤证	派出所所长有权批准传唤	传唤需经县级公安机关负责人批准	对证人不可以使用传唤	BD
多选题	91	询问不满十八周岁的()，应当通知其父母或者其他监护人到场	违反治安管理行为人	被侵害人	目击证人	其他证人	ABCD
多选题	92	为保证询问的合法性和证据的有效性，被询问人(不满十八周岁)的父母或者其他监护人不能到场时，公安机关可以邀请()到场	办案地居(村)民委员会的人员	所在学校的教师	被询问人在办案地有完全行为能力的亲友	其他见证人	ABC
多选题	93	人民警察询问被侵害人或其他证人，可以到()进行	被侵害人或其他证人所在单位	被侵害人或其他证人的住处	某市公安局	某公安派出所	ABCD
多选题	94	公安机关对与违反治安管理有关的物品进行检查时，应当出示()	人民警察证	身份证	县级以上人民政府开具的检查证	县级以上人民政府公安机关开具的检查证	AD
多选题	95	对()进行检查时，人民警察经出示人民警察证，可以当场检查，不必出示检查证	公民住所	物品	人身	正在营业的商店	BC
多选题	96	符合公安机关将收取的保证金及时退还交纳人的情形有()	被处罚人逃避行政拘留处罚的执行	担保人履行了担保义务	行政拘留的处罚决定被撤销	行政拘留处罚开始执行	CD
多选题	97	证据的“登记”与证据的“先行登记保存”的区别在于()	法律依据不同	适用对象不同	批准权限不同	处理期限与后果不同	ABCD
多选题	98	公安机关办理治安案件可以采取下列哪些措施()	抽样取证	先行登记保存	扣押	登记	ABCD
多选题	99	下列各项中可以依法作出警告或一千元以下罚款治安管理处罚决定的是	铁路公安派出所	公共交通公安派出所	民航公安派出所	森林公安派出所	ABCD
多选题	100	张三是某著名歌星狂热粉丝，一次该歌星大型演唱会现场张三扰乱该活动秩序。针对以上案情，下列说法正确的是()	若公安机关处以罚款的，可以同时责令其六个月以内不得进入体育场馆、演出场馆观看同类比赛、演出	若公安机关处以拘留的，可以同时责令其一年以内不得进入体育场馆、演出场馆观看同类比赛、演出	在规定期限内，违反规定进入体育场馆、演出场馆的，公安机关有权强行带离现场	在规定期限内，违反规定进入体育场馆、演出场馆的，公安机关有权处五日以下拘留或者一千元以下罚款	BCD
多选题	101	南某与曾某素来不和。一天中午，南某与曾某因公用水池用水问题，发生争执，并相互扭打，被邻居拉开。南某丈夫孙某下班回家，听说妻子与曾某吵架，拉起妻子找到曾某骂架，并捡起过道上一把破菜刀递给妻子南某，说“揍她，砍她，坐牢老子去”。南某乘曾某不备，举起菜刀往曾某背上、头上砍去，造成曾某头部损伤，经鉴定系轻微伤。下面对南某和丈夫孙某处罚的表述正确的是()	只应当对南某进行处罚	对南某和孙某不应当处罚	应当对南某和孙某一同处罚	孙某是教唆行为，对此行为应当同南某的行为一并处罚	CD
多选题	102	崔某因介绍他人卖淫，被公安机关处以十五日行政拘留。崔某不服该处罚决定，申请行政复议后，提出担保人，申请暂缓执行行政拘留。在其提出的如下担保人中，不符合法律规定条件的是()	石某，也系本案涉嫌介绍卖淫人	林某，当地个体户，月收入三千元以上，曾因故意伤害罪被判处五年有期徒刑，两年前刑满释放	齐某，当地居民，月收入五千元以上，现因涉嫌暴力干涉婚姻自由罪被监视居住	马某，崔某母亲，已取得日本国籍，现回国投资，在当地有固定住所	ACD
多选题	103	根据《治安管理处罚法》的规定，下列违法行为法定可以从轻处罚的有()	醉酒的张某故意损毁他人财物	聋哑人王某携带匕首乘坐地铁	有违法前科的赵某(17岁)盗窃电动自行车(价值四百元)	网瘾性精神病人高某，在精神正常时敲诈勒索他人三百元	BC
多选题	104	以下关于《治安管理处罚法》从宽处理说法错误的是()	情节特别轻微的，才能从宽处理	主动消除或者减轻违法后果，并取得被侵害人谅解的，才能从宽处理	被他人胁迫实施违法行为，能从宽处理	被他人诱骗实施违法行为，能从宽处理	ABCD
多选题	105	以下关于《治安管理处罚法》从重处理说法正确的是()	只有教唆未成年，才应当从重处罚	诱骗他人违反治安管理的，应当从重处罚	打击报复报案人的，应当从重处罚	一年以内曾受过治安管理处罚的，应当从重处罚	BCD
多选题	106	以下构成治安违法案件的是()	组织传销活动的	参与传销活动的	多次参与传销活动的	在公共场所佩戴纳粹标志的	AD
多选题	107	以下属于妨害公共安全违法行为的是()	有关危害计算机系统安全的	抢夺方向盘造成特别严重后果的	高空抛物，造成一定社会危险的	违规飞行“无人机”的	BCD
多选题	108	以下关于《治安管理处罚法》中涉及个人隐私、个人信息有关违法行为说法正确的是()	违规向他人提供个人信息属于治安违法	违规购买个人信息属于治安违法	私自开拆他人信件属于治安违法	毁弃他人信件，未造成较重后果的，询问查证的时间一般不得超过八小时	ABCD
多选题	109	以下属于侵犯人身、财产权利的违法行为的是()	组织未成年从事有偿陪侍	引诱他人卖淫	组织作弊	窃取公民个人信息	AD
多选题	110	以下关于《治安管理处罚法》说法错误的是()	旅馆业从业人员为其场所内的黄赌毒活动通风报信的，公安机关有权责令其停业整顿十五日至三十日	违规产生生活噪声的，公安机关有权直接予以治安处罚	放任动物恐吓他人的违法嫌疑人，传唤询问的时间不得超过二十四小时	违规饲养烈性犬，公安机关可以直接依法行使拘留或者罚款等职权	ABD
多选题	111	以下属于妨害社会管理的违法行为的()	拒不执行禁止家庭暴力告诫书的	替考的	违规飞行无人机的	违规饲养烈性犬的	AD
多选题	112	公安机关及其人民警察在办理治安案件时，应当予以保密的有()	国家秘密	商业秘密	个人隐私	个人信息	ABCD
多选题	113	治安处罚决定程序中可以由一名民警作出的条件有()	符合当场处罚条件	被处罚人对一名民警作出处罚决定没有异议	被侵害人对一名民警作出处罚决定没有异议	应当全程同步录音录像	ABD
多选题	114	以下关于治安管理执法监督说法错误的是()	公安机关及其人民警察办理治安案件，不严格执法或者有违法违纪行为的，任何单位和个人都有权检举、控告	发现被处罚人是公职人员，需要给予政务处分的，应当依照有关规定及时通报公安机关等有关单位	收缴的罚款应当全部上缴国库，重点作为公安机关经费保障	只有对违反治安管理时不满十八周岁的违法行为人，违反治安管理的记录应当予以封存	BCD
多选题	115	属于《治安管理处罚法》中，新增属于妨害公共安全的违法行为有()	无人机“黑飞”	升放携带明火的升空物体	治安保卫重点单位拒不整改治安隐患	抢控公共交通工具驾驶操纵装置	ABCD
多选题	116	“一人执法”的适用情形包括()	当场处罚	调解简单治安纠纷	异地远程视频询问	强制传唤	AB
多选题	117	《治安管理处罚法》中罚款幅度调整的原则是()	适当提高	区分不同违法行为设置梯度	情节严重的可并处高额罚款	取消部分轻微行为的罚款	ABC
多选题	118	学校在学生欺凌治理中的义务有()	及时报告严重学生欺凌事件	配合公安机关调查	对欺凌者进行矫治教育	保护受害学生隐私	ABD
多选题	119	《治安管理处罚法》新增或完善的执法程序有()	当场扣押全程同步	明确执法证件为人	异地询问可采取远程	完善强制传唤程序	ABCD
多选题	120	从重处罚的情形包括()	一年内受过治安管理处罚的	组织他人实施违反治安管理行为的	胁迫、诱骗他人实施违反治安管理行为的	对报案人、控告人、举报人、证人打击报复的	ABCD
多选题	121	快速办理治安案件的适用条件有()	事实清楚	证据确凿	行为人自愿认错认罚	行为人同意快速办理	ABCD
多选题	122	《治安管理处罚法》中新增的矫治教育适用对象有()	实施学生欺凌的未成年人	多次违反治安管理的未成年人	虐待幼老病残人员的成年人	组织传销活动的首要分子	AB
多选题	123	下列情形中，当事人有权要求听证的有()	16岁的陈某因打架斗殴拟执行行政拘留	赵某(男，19岁)因多次纠缠、跟踪刘某(女，18岁)拟被予以行政拘留五日，并处一千元罚款	张某因网络造谣拟罚款五千元	李某在其经营的歌厅因组织未成年人有偿陪侍拟责令停业整顿	ACD
多选题	124	根据《治安管理处罚法》，下列哪些情形可以从轻、减轻或者不予处罚()	情节轻微的	出于他人诱骗的	主动投案，向公安机关如实陈述自己违法行为的	醉酒的人违反治安管理的	ABC
多选题	125	《治安管理处罚法》对以下哪些新型社会问题作出了针对性的规定()	高空抛物	无人机“黑飞”	抢夺公交车方向盘	动物伤人	ABCD
多选题	126	下列关于当场处罚说法正确的有()	违反治安管理行为事实清楚、证据确凿，处警告或者五百元以下罚款处罚的，可以当场作出治安管理处罚决定	处罚决定书应当载明处罚的依据，并由经办的人民警察签名或者盖章	被处罚人对当场处罚不服的，有权申请行政复议或者提起行政诉讼	当场处罚，经办的人民警察应当在二十四小时内报所属的公安机关备案	ABCD
多选题	127	下列有关办案民警当场收缴罚款的说法正确的是()	应当自收缴罚款之日起二日内，将当场收缴的罚款交至其所属公安机关	在水上当场收缴的罚款，应当自抵岸之日起二日内将当场收缴的罚款交至其所属公安机关	在旅客列车上当场收缴的罚款，应当自返回之日起二日内将当场收缴的罚款交至其所属公安机关	公安机关应当自收到罚款之日起七日内将罚款缴付指定的银行	ABC
多选题	128	2026年5月5日，王某因殴打他人被公安机关处以行政拘留七日的处罚，同时并处五百元罚款。王某认错认罚，主动赔偿受害人损失，取得受害人谅解。对王某的处罚可以()	减轻处罚，改为行政拘留三日，罚款三百元	不予处罚	加重处罚，改为行政拘留十日，罚款八百元	维持原处罚，不得变更	AB
多选题	129	公安派出所可直接作出的治安管理处罚是()	行政拘留五日	罚款八百元	警告	吊销许可证件	BC
多选题	130	对于下列哪种处罚，只要违反治安管理的行为事实清楚，证据确凿，可以当场作出治安管理处罚决定()	警告或者三百元以下罚款	吊销许可证件	警告或者二百元以下罚款	五百元以下罚款	ACD
多选题	131	人民警察在办理治安案件过程中，需要回避的情形是()	是本案的当事人或者是当事人的近亲属的	本人或者其近亲属与本案有利害关系的	与本案有关系的	与本案当事人有其他关系，可能影响案件公正处理的	ABD
多选题	132	办理治安案件过程中，民警遇有下列哪些情形的，当事人有权要求回避。()	是本案当事人或者当事人的近亲属	本人或者其近亲属与本案有利害关系	与本案当事人有其他关系，可能影响案件公正处理的	当事人对民警不信任的	ABC
多选题	133	下列关于回避的决定说法正确的有()	公安机关负责人的回避由同级人民政府决定	人民警察的回避由上级公安机关决定	公安机关负责人的回避由上一级公安机关决定	人民警察的回避由其所属的公安机关决定	CD
多选题	134	下列有关办案民警回避的说法，符合法律规定的是()	遇有法定回避情形的，人民警察应当自行回避	违反治安管理行为人、被侵害人及其法定代理人有权申请办案民警回避	人民警察的回避，由其所属的公安机关决定	公安机关负责人的回避，由同级人民检察院决定	ABC
多选题	135	公安机关适用强制传唤的前提条件有()	无正当理由不接受传唤	无正当理由逃避传唤	违反治安管理行为人不详	违反治安管理行为人突发急病、生命垂危而不接受传唤	AB
多选题	136	下列关于询问查证的说法正确的有()	对违反治安管理行为人，公安机关传唤后应当及时询问查证，询问查证的时间不得超过八小时；涉案人数众多、违反治安管理行为人身份不明的，询问查证时间不得超过十二小时	情况复杂，依照《治安管理处罚法》规定可能适用行政拘留处罚的，询问查证的时间不得超过二十四小时	公安机关应当及时将传唤的原因和处所通知被传唤人家属	询问不满十八周岁的违反治安管理行为人，应当通知其父母或者其他监护人到场	ABCD
多选题	137	下列关于治安管理处罚的表述正确的是()	治安管理处罚必须以事实为依据，与违反治安管理行为的性质、情节以及社会危害程度相当	实施治安管理处罚应当依照法定程序进行	实施治安管理处罚应有法律依据，法律没有规定治安管理处罚的，不予处罚	实施治安管理处罚，应当公开、公正，尊重和保障人权，保护公民的人格尊严	ABCD
多选题	138	下列关于治安管理处罚的公开原则表述正确的是()	对违法行为实施治安管理处罚的法律规定要公开	公安机关办理治安案件的程序要公开	依法应当举行听证的，都必须公开举行，允许群众旁听	违反治安管理的记录应当予以封存，一律不得公开。	AB
多选题	139	根据《治安管理处罚法》的规定，违法行为轻微、初次违反治安管理的()行政拘留不执行	甲，15周岁，因诈骗被处行政拘留五日	乙，19岁，因盗窃被处行政拘留七日	丙，75岁，因嫖娼被处行政拘留十日	丁17岁，因赌博被处行政拘留五日	ACD
多选题	140	以下关于《治安管理处罚法》中，符合拘留不执行条件的是()	张某，15周岁，第一次违反治安管理	王某，14周岁生日第二天违反治安管理，16岁生日前夜再次违反治安管理	赵某，15周岁，第一次违反治安管理，寻衅滋事，造成恶劣影响	李某，75周岁，一年内寻衅滋事两次	AB
多选题	141	以下关于异地执法办案说法正确的是()	公安机关可以委托异地公安机关代为询问，也可以远程视频询问	远程视频询问的，应当通过司法机关的视频系统进行	远程视频询问形成的笔录应当交由违法嫌疑人核对	远程视频询问，应当全程同步录音录像	AD
多选题	142	以下关于《治安管理处罚法》规定的可以辨认的活动的是	让违反治安管理行为人、被侵害人和其他证人对与违反治安管理行为有关的场所、物品进行辨认	让被侵害人、其他证人对违反治安管理行为人进行辨认	让违反治安管理行为人对其他违反治安管理行为人进行辨认	让违反治安管理行为人对被侵害人、其他证人进行辨认	ABC
多选题	143	以下关于治安案件的办案期限说法正确的是()	简易程序的办案期限为二十四小时	快速办理程序的办案期限为四十八小时	治安案件精神病鉴定期间不计入办案期限	治安案件听证的期间不计入办案期限	CD
多选题	144	根据《治安管理处罚法》，下列属于治安管理处罚种类的是()	罚款	行政拘留	吊销公安机关发放的许可证件	对违反治安管理的外国人，可以附加或独立适用限期出境或者驱逐出境	ABC
多选题	145	公安机关在办理治安案件时，对()应当收缴	赌具	注射毒品用的针管	淫秽光盘	直接用于实施违反治安管理行为的本人所有的工具	ABCD
多选题	146	下列物品中，公安机关应当收缴的是()	赌具	淫秽物品	毒品	用于实施违反治安管理行为的他人的工具	ABC
多选题	147	根据《治安管理处罚法》的规定，公安机关办理治安案件时，可以对()予以追缴	吸毒用具	盗窃时用于撬门的工具	卖淫的收入	倒卖票证的收入	CD
多选题	148	根据《治安管理处罚法》的规定，下面的表述正确的是()	盲人违反治安管理的，可以从轻处罚	又聋又哑的人违反治安管理的，应当减轻处罚	又聋又哑的人违反治安管理的，可以减轻处罚	盲人违反治安管理的，可以不予处罚	ACD
多选题	149	醉酒的人在醉酒状态中，如果对本人或他人的人身、财产或公共安全产生了威胁，公安机关应当对其采取强制性约束措施约束至酒醒，约束时可以使用()	警绳	脚镣	手铐	约束带	AD
多选题	150	根据《治安管理处罚法》规定，违反治安管理有下列情形之一的，从轻、减轻处罚或者不予处罚()	情节轻微	主动消除或者减轻违法后果	有立功表现	主动投案，向公安机关如实陈述自己的违法行为	ABCD
多选题	151	《治安管理处罚法》规定的可能适用减轻处罚的情形有()	已满十四周岁不满十八周岁的人违反治安管理	间歇性精神病人	主动投案，向公安机关如实陈述自己的违法行为	违反治安管理的行为在六个月内未被公安机关发现	ABC
多选题	152	下列关于传唤说法正确的有()	不是对所有的违反治安管理行为人都必须使用传唤	传唤的地点可以是任何地点	口头传唤后不必补办传唤证	公安机关应当将传唤的原因和依据告知被传唤人	ACD
多选题	153	下列关于询问笔录说法正确的有()	询问笔录应当交被询问人核对	被询问人没有阅读能力的，应当向其宣读	被询问人确认笔录无误后，可以签名或者盖章	询问笔录记载有遗漏的，被询问人可以提出补充	ABD
多选题	154	依据《治安管理处罚法》的规定，公安机关对()可以进行检查	与违反治安管理行为有关的场所	违反治安管理行为人的物品	违反治安管理行为人的人身	与违反治安管理行为有关的公民住所	ABCD
多选题	155	公安机关办理治安案件，对()，可以扣押	被侵害人合法占有的财产，与案件有关的必须鉴定的	善意第三人合法占有的财产，与案件有关的必须鉴定的	与案件有关的需要作为证据的物品	与案件有关的需要作为证据的文件	ABCD
多选题	156	在公安机关办理治安案件过程中，对依法扣押的物品应()	应妥善保管，不得挪作他用	经查明与案件无关的应当及时退还	经核查属于他人合法财产的应登记后立即退还	超过三个月仍无人对扣押物品主张权利或无法查清权利人的，应公开拍卖	ABC
多选题	157	治安案件调查结束后，公安机关对()，作出不予处罚的决定	依法不予处罚的	违法行为已涉嫌犯罪的	发现违反治安管理行为人有其他违反行为的	违法事实不能成立的	AD
多选题	158	公安机关作出治安管理处罚决定的，应当制作治安管理处罚决定书，决定书应当载明的内容包括()	被处罚人的姓名、性别、年龄、身份证件的名称和号码、住址	违法事实和证据	对处罚决定不服，申请行政复议、提起行政诉讼的途径和期限	作出处罚决定的公安机关的名称和作出决定的日期	ABCD
多选题	159	治安管理处罚决定书应包括下列哪些内容()	被处罚人的姓名、性别、年龄、身份证号码、住址	违法事实和证据；处罚的种类、依据、执行方式和期限	对处罚决定不服申请行政复议、提起行政诉讼的途径和期限	作出处罚决定的公安机关的名称和作出决定的日期，决定书应由作出决定的公安机关加盖公章	ABCD
多选题	160	根据《治安管理处罚法》的规定，下列说法正确的有()	治安管理处罚决定书应当由作出处罚决定的人民警察签名并盖章	对治安管理处罚决定不服，被处罚人有权申请行政复议、提起行政诉讼	治安管理处罚决定书中应当载明违法的事实和证据	被处罚人申请行政复议应当在法定的期限内提出	BCD
多选题	161	根据《治安管理处罚法》的规定，下列说法正确的有()	公安机关应当向被处罚人宣告治安管理处罚决定书，并当场交付被处罚人	公安机关无法当场向被处罚人宣告处罚决定书的，应当在二日内送达被处罚人	对决定给予行政拘留处罚的，公安机关应当及时通知被处罚人的家属	有被侵害人的，公安机关应当将决定书副本抄送被侵害人	ABC
多选题	162	下列关于公安机关办理治安案件的期限说法错误的有()	公安机关办理治安案件的期限，自立案之日起不得超过三十日	案情重大、复杂的，经上一级公安机关批准，可以延长三十日	为了查明案情进行鉴定的期间，也要计入办理治安案件的期限	办案期限延长以一次为限	CD
多选题	163	根据有关规定，下列()属于不得适用当场处罚程序的案件	卖淫嫖娼案件	赌博案件	出售淫秽物品案件	吸毒案件	ABCD
多选题	164	下列不适用当场处罚的案件有()	卖淫、嫖娼案件	引诱、容留、介绍卖淫案件	拉客招嫖案件	赌博案件	ABCD
多选题	165	下列关于当场处罚说法正确的有()	违反治安管理行为事实清楚、证据确凿，处警告处罚的可以当场作出治安管理处罚决定	当场作出治安管理处罚决定的，人民警察应当向违反治安管理行为人出示人民警察证	人民警察填写处罚决定书后，应当当场交付被处罚人	有被侵害人的，人民警察应当将决定书送达被侵害人	ABCD
多选题	166	根据《治安管理处罚法》及有关规定，下列表述正确的有()	被处罚人有权申请行政复议，被侵害人也有权申请行政复议	被处罚人申请行政复议的，被侵害人可以作为复议案件的第三人参加行政复议	被处罚人有权在行政复议和行政诉讼之间自由选择	被处罚人提起行政诉讼应当符合法律的规定	ABCD
多选题	167	根据《治安管理处罚法》及有关规定，下列表述错误的有()	被侵害人无权提起行政复议	被处罚人申请行政复议就不能再提起行政诉讼	被处罚人对行政复议决定不服的可以再依法提起行政诉讼	被处罚人提起行政诉讼应当在法定的时限内提起	AB
多选题	168	在行政复议或者行政诉讼期间，有下列()情形之一的，行政拘留决定可以暂缓执行	被处罚人不服行政拘留处罚决定，申请行政复议、提起行政诉讼	遇有参加升学考试情形	遇有子女出生情形	遇有近亲属死亡情形	ABCD
多选题	169	《治安管理处罚法》实施后，治安案件中的被侵害人有哪些救济途径()	对治安管理处罚决定不服的，被侵害人可以依法申请行政复议	如果被处罚人不服治安管理处罚而提起行政诉讼，被侵害人可以作为第三人参加行政诉讼	被侵害人对违法行为人给其造成的财产损失，可以向人民法院提起民事诉讼	被侵害人如果认为公安机关在查处治安案件时，有徇私舞弊行为的，可以向人民检察院控告	ABCD
多选题	170	根据《治安管理处罚法》的规定，对被决定给予行政拘留处罚的人，执行方式表述错误的有()	由被处罚人自行到拘留所接受处罚	由作出决定的公安机关将被处罚人送达拘留所执行	由作出决定的公安机关将被处罚人送交看守所执行	在拘留所执行	AC
多选题	171	下列关于罚款的执行，表述正确的有()	一律实行罚缴分离	被处二十元罚款，被处罚人对罚款无异议的，人民警察可以当场收缴	在交通不便地区应当实行当场收缴	受到罚款处罚的人应当自收到处罚决定书之日起十五日内，到指定的银行或者通过电子支付系统缴纳罚款	BD
多选题	172	下列关于当场收缴罚款的表述正确的有()	对个人当场处以五十元罚款，均可以当场收缴	对违反治安管理、交通管理以外的违法行为人当场处以二十元罚款，可以当场收缴	对个人当场处以二百元罚款，被处罚人在当地没有固定住所，如果不当场收缴事后难以执行的，可以当场收缴	只要被处罚人提出当场缴纳罚款，就可以当场收缴，不受其他条件的限制	BC
多选题	173	根据《治安管理处罚法》的规定，对违反治安管理行为人作出罚款处罚决定的，正确的做法有()	受到罚款处罚的人都应当自公安机关作出处罚决定之日起十五日以内，到指定的银行缴纳罚款	在边远、水上、交通不便地区，公安机关及其人民警察依法作出罚款决定后，被处罚人向指定的银行缴纳罚款确有困难，经被处罚人提出，人民警察可以当场收缴罚款	当事人拒不缴纳罚款，经县级以上公安机关批准，可以处以十日以下行政拘留	人民警察当场收缴罚款，不出具省、自治区、直辖市人民政府财政部门统一制发的罚款收据的，被处罚人可以拒绝缴纳罚款	BD
多选题	174	对被处罚人逾期不缴纳罚款的，作出罚款决定的公安机关可以采取下列()措施	每日按罚款数额的百分之五加处罚款	将依法扣押的财物拍卖抵缴罚款	申请人民法院强制执行	可以处拘留，但是罚款仍应执行	BC
多选题	175	下列关于当场收缴罚款表述错误的有()	被处罚人在当地没有固定住所，人民警察可以当场收缴	人民警察当场收缴的罚款，应当自收缴罚款之日起三日以内，交至所属的公安机关	在旅客列车上当场收缴的罚款，应当自到站之日起二日以内，交至指定的银行	人民警察当场收缴罚款不必出具统一制发的罚款收据	ABCD
多选题	176	下列关于治安案件管辖表述正确的是()	国务院公安部门负责全国的治安管理工作	县级以上地方各级人民政府公安机关负责本行政区域内的治安管理工作	治安案件的管辖由国务院公安部门规定	治安案件的管辖由国务院规定	ABC
多选题	177	某日，十七周岁的高中生甲在小区门口看见一辆小汽车，发现车门未锁，钥匙插在点火开关上。甲于是上车练习开车技术，不料撞上大树。车主事后修车花费九百元。结合本案，判断下列说法中正确的有()	公安机关对本案可以调解	甲偷开他人机动车违法	甲不满十八周岁，对甲应当从轻或者减轻处罚，如属初犯将不执行行政拘留	修车费应由甲的监护人赔偿	ABCD
多选题	178	对于因民间纠纷引起的打架斗殴或者损毁他人财物等违反治安管理行为，下列做法正确的是()	经调解，当事人达成协议的，不予处罚	经调解未达成协议的，对违反治安管理行为人给予处罚	达成协议后不履行的，对违反治安管理行为人给予处罚	公安机关可以在实施治安管理处罚后就民事争议进行调解	ABC
多选题	179	下列情形公安机关应当依照《治安管理处罚法》对违反治安管理行为人给予处罚的是()	经公安机关调解未达成协议的	经公安机关调解达成协议后不履行的	多次实施违反治安管理行为的	当事人明确表示不愿意调解处理的	ABCD
多选题	180	下列对于因民间纠纷引起的殴打他人、故意伤害、侮辱、诽谤、诬告陷害、故意损毁财物、干扰他人正常生活等情节较轻的治安案件，公安机关可以调解处理的是()	亲友、邻里、同事因琐事发生纠纷引起的	在校学生间因琐事发生纠纷引起的	行为人的侵害行为系因被侵害人事前的过错行为引起的	其他适用调解处理更易化解矛盾的	ABCD
多选题	181	调解协议书应当包括()等内容	双方当事人、调解人员情况	案件情况	协议内容	履行期限和方式	ABCD
多选题	182	下列表述中，不正确的有()	已满十四周岁不满十八周岁的人违反治安管理，应当减轻处罚	十六周岁生日当天，应视为已满十六周岁	认定年龄以查处违反治安管理行为时为准	对于不满十四周岁的人违反治安管理违法所得的财物，应当追缴	ABC
